education,Precision,Recall,TNR,NPV,F-Score
10th,0.08333333333333333,1.0,0.9395604395604396,1.0,0.15384615384615385
11th,0.2727272727272727,1.0,0.963963963963964,1.0,0.42857142857142855
12th,0.4,1.0,0.96875,1.0,0.5714285714285715
5th-6th,0.5,1.0,0.9666666666666667,1.0,0.6666666666666666
7th-8th,0.0,,0.9574468085106383,1.0,
9th,0.3333333333333333,1.0,0.9824561403508771,1.0,0.5
Assoc-acdm,0.5957446808510638,0.7777777777777778,0.8827160493827161,0.9470198675496688,0.674698795180723
Assoc-voc,0.5238095238095238,0.7333333333333333,0.868421052631579,0.9428571428571428,0.611111111111111
Bachelors,0.7977777777777778,0.7386831275720165,0.8395061728395061,0.7893864013266998,0.7670940170940171
Doctorate,0.8245614035087719,0.8392857142857143,0.5238095238095238,0.55,0.8318584070796461
HS-grad,0.28405797101449276,0.8305084745762712,0.8744280630401627,0.9885057471264368,0.42332613390928725
Masters,0.8502415458937198,0.8073394495412844,0.7947019867549668,0.7407407407407407,0.8282352941176472
Prof-school,0.9166666666666666,0.8279569892473119,0.6956521739130435,0.5,0.8700564971751412
Some-college,0.516245487364621,0.7486910994764397,0.8964451313755796,0.9602649006622517,0.6111111111111112
1st-4th,,,,1.0,
Preschool,,,,1.0,
