occupation,Precision,Recall,TNR,NPV,F-Score
?,0.40476190476190477,0.7727272727272727,0.9318801089918256,0.9855907780979827,0.5312499999999999
Adm-clerical,0.4270833333333333,0.6721311475409836,0.9172932330827067,0.9682539682539683,0.5222929936305731
Armed-Forces,1.0,1.0,1.0,1.0,1.0
Craft-repair,0.35911602209944754,0.8441558441558441,0.8440860215053764,0.98125,0.5038759689922481
Exec-managerial,0.7808564231738035,0.7948717948717948,0.8058035714285714,0.81859410430839,0.7878017789072428
Farming-fishing,0.17857142857142858,0.5555555555555556,0.875,0.9757575757575757,0.2702702702702703
Handlers-cleaners,0.3333333333333333,0.5,0.969811320754717,0.9846743295019157,0.4
Machine-op-inspct,0.2553191489361702,0.7058823529411765,0.9030470914127424,0.9848942598187311,0.37499999999999994
Other-service,0.15384615384615385,1.0,0.9668174962292609,1.0,0.2666666666666667
Prof-specialty,0.8061224489795918,0.7821782178217822,0.8207547169811321,0.7981651376146789,0.7939698492462313
Protective-serv,0.47619047619047616,0.7692307692307693,0.8,0.9361702127659575,0.588235294117647
Sales,0.6354166666666666,0.7484662576687117,0.8763250883392226,0.9236499068901304,0.6873239436619718
Tech-support,0.6470588235294118,0.75,0.8758620689655172,0.9202898550724637,0.6947368421052633
Transport-moving,0.3125,0.7692307692307693,0.8487972508591065,0.9762845849802372,0.4444444444444445
Priv-house-serv,,,,1.0,
